,Date,Favorite,UnderDog,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,Season,home_team,away_team,home_fav,date_match,home_abbr,away_abbr
91,"December 15, 2016 8:25 PM",at Seahawks,Rams,-15.5,39.5,900,-1600,2016,Seahawks,Rams,True,2016-12-15,SEA,LAR
92,"December 17, 2016 8:25 PM",Dolphins,at Jets,-2.5,39.5,-150,125,2016,Jets,Dolphins,False,2016-12-17,NYJ,MIA
93,"December 18, 2016 1:00 PM",at Bills,Browns,-10.5,43.0,350,-500,2016,Bills,Browns,True,2016-12-18,BUF,CLE
94,"December 18, 2016 1:00 PM",at Giants,Lions,-4.0,41.5,180,-200,2016,Giants,Lions,True,2016-12-18,NYG,DET
95,"December 18, 2016 1:00 PM",Packers,at Bears,-4.5,40.0,-230,190,2016,Bears,Packers,False,2016-12-18,CHI,GB
96,"December 18, 2016 1:00 PM",at Vikings,Colts,-5.5,45.0,195,-240,2016,Vikings,Colts,True,2016-12-18,MIN,IND
97,"December 18, 2016 1:00 PM",at Texans,Jaguars,-3.5,39.5,155,-189,2016,Texans,Jaguars,True,2016-12-18,HOU,JAX
98,"December 18, 2016 1:00 PM",at Ravens,Eagles,-5.0,41.0,195,-240,2016,Ravens,Eagles,True,2016-12-18,BAL,PHI
99,"December 18, 2016 1:00 PM",Steelers,at Bengals,-3.0,45.5,-175,140,2016,Bengals,Steelers,False,2016-12-18,CIN,PIT
100,"December 18, 2016 1:00 PM",at Chiefs,Titans,-6.0,42.5,220,-260,2016,Chiefs,Titans,True,2016-12-18,KC,TEN
101,"December 18, 2016 4:05 PM",at Cardinals,Saints,-3.0,48.0,135,-160,2016,Cardinals,Saints,True,2016-12-18,ARI,NO
102,"December 18, 2016 4:05 PM",at Falcons,49ers,-14.0,51.5,700,-1100,2016,Falcons,49ers,True,2016-12-18,ATL,SF
103,"December 18, 2016 4:25 PM",Patriots,at Broncos,-3.0,43.0,-165,135,2016,Broncos,Patriots,False,2016-12-18,DEN,NE
104,"December 18, 2016 4:25 PM",Raiders,at Chargers,-2.5,50.0,-143,115,2016,Chargers,Raiders,False,2016-12-18,LAC,LV
105,"December 18, 2016 8:30 PM",at Cowboys,Buccaneers,-6.5,47.5,240,-300,2016,Cowboys,Buccaneers,True,2016-12-18,DAL,TB
106,"December 19, 2016 8:30 PM",at Commanders,Panthers,-7.0,50.5,255,-320,2016,Commanders,Panthers,True,2016-12-19,WAS,CAR
107,"December 22, 2016 8:25 PM",at Eagles,Giants,-1.0,42.5,-110,-110,2016,Eagles,Giants,True,2016-12-22,PHI,NYG
108,"December 24, 2016 1:00 PM",at Patriots,Jets,-17.0,45.0,1000,-2000,2016,Patriots,Jets,True,2016-12-24,NE,NYJ
109,"December 24, 2016 1:00 PM",Titans,at Jaguars,-4.5,44.0,-220,180,2016,Jaguars,Titans,False,2016-12-24,JAX,TEN
110,"December 24, 2016 1:00 PM",Commanders,at Bears,-3.0,49.0,-163,130,2016,Bears,Commanders,False,2016-12-24,CHI,WAS
111,"December 24, 2016 1:00 PM",Falcons,at Panthers,-3.0,48.5,-165,135,2016,Panthers,Falcons,False,2016-12-24,CAR,ATL
112,"December 24, 2016 1:00 PM",Chargers,at Browns,-4.5,46.0,-210,180,2016,Browns,Chargers,False,2016-12-24,CLE,LAC
113,"December 24, 2016 1:00 PM",at Bills,Dolphins,-4.5,44.0,190,-220,2016,Bills,Dolphins,True,2016-12-24,BUF,MIA
114,"December 24, 2016 1:00 PM",at Packers,Vikings,-6.5,44.5,230,-295,2016,Packers,Vikings,True,2016-12-24,GB,MIN
115,"December 24, 2016 4:05 PM",at Raiders,Colts,-3.5,51.5,165,-185,2016,Raiders,Colts,True,2016-12-24,LV,IND
116,"December 24, 2016 4:25 PM",at Seahawks,Cardinals,-8.0,43.5,300,-400,2016,Seahawks,Cardinals,True,2016-12-24,SEA,ARI
117,"December 24, 2016 4:25 PM",at Rams,49ers,-5.0,39.5,200,-240,2016,Rams,49ers,True,2016-12-24,LAR,SF
118,"December 24, 2016 4:25 PM",at Saints,Buccaneers,-3.0,53.0,155,-175,2016,Saints,Buccaneers,True,2016-12-24,NO,TB
119,"December 24, 2016 8:25 PM",at Texans,Bengals,-3.0,41.5,135,-155,2016,Texans,Bengals,True,2016-12-24,HOU,CIN
